,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL,MSFT,MSFT,MSFT,MSFT,MSFT,MSFT,MSFT,PFE,PFE,PFE,PFE,PFE,PFE,PFE,DIS,DIS,DIS,DIS,DIS,DIS,DIS,DJIA,DJIA,DJIA,DJIA,DJIA,DJIA,DJIA
,open,high,low,close,volume,trade_count,vwap,open,high,low,close,volume,trade_count,vwap,open,high,low,close,volume,trade_count,vwap,open,high,low,close,volume,trade_count,vwap,open,high,low,close,volume,trade_count,vwap
2022-02-24,152.58,162.85,152.0,650.04,141258414,1383835,158.018049,272.51,295.16,271.52,294.59,57209360,809375,285.485466,45.86,46.755,45.59,45.6128,16042976,113168,46.101152,140.0,149.57,140.0,149.4,12449572,190450,145.726019,23.78,24.02,23.65,24.02,22738,52,23.76993
2022-02-25,163.78,165.12,160.8738,659.4,87680902,768624,163.788661,295.185,297.62,291.655,297.31,31040429,489754,295.702993,45.81,48.03,45.74,47.72,30004122,176461,47.506506,149.56,150.28,147.22,149.53,9677173,125585,149.054607,24.41,24.5814,24.19,24.5814,26826,172,24.27501
2022-02-28,163.06,165.42,162.43,660.48,90547539,743310,164.274417,294.31,299.14,293.0,298.79,32985981,420204,296.569539,46.82,47.17,46.34,46.94,33849345,170565,46.812708,147.83,149.48,146.46,148.46,10443190,118442,148.079387,24.67,24.67,24.44,24.5981,4076,113,24.53506
2022-03-01,164.695,166.6,161.97,652.8,79455454,701957,164.167482,296.4,299.97,292.15,294.95,29765710,433927,295.854916,46.69,47.1368,45.44,45.75,28389358,174597,45.984163,147.86,148.146,143.779,145.7,8494450,129582,145.762479,24.78,24.78,24.22,24.2721,8225,107,24.338157
2022-03-02,164.39,167.36,162.95,666.24,76135254,631927,165.810466,295.36,301.44,293.698,300.19,30332595,497975,298.870515,46.11,47.93,46.0,47.7,35053278,202478,47.434478,146.31,148.465,145.92,147.34,7516010,110441,147.446804,24.65,24.71,24.4198,24.66,14268,123,24.555496
2022-03-03,168.47,168.91,165.55,664.92,73779442,622341,166.927454,302.89,303.13,294.05,295.92,26200571,386255,297.477721,47.68,48.585,47.48,47.83,29617414,188352,47.964999,147.31,148.65,144.45,145.57,7740742,109343,145.784567,24.77,24.78,24.56,24.5852,10576,189,24.669902
2022-03-04,164.49,165.55,162.1,652.68,80761684,710586,163.402599,294.29,295.66,287.165,289.86,31208173,513154,289.977581,47.5,48.765,47.41,48.65,31433957,195568,48.411359,144.01,144.26,139.55,140.72,12390079,198853,140.768061,24.4599,24.54,24.32,24.5252,38136,275,24.42002
2022-03-07,163.36,165.02,159.04,637.2,92893526,803961,161.40379,288.53,289.69,278.53,278.91,41736803,642285,281.667713,48.25,48.84,47.515,47.98,31556860,174838,48.075212,140.28,140.89,133.44,133.5,14056460,214088,135.392408,24.34,24.34,24.0515,24.0515,6482,168,24.273022
2022-03-08,158.82,162.88,155.8,629.76,126458822,1084485,158.771695,277.8,283.96,270.0,275.85,46348347,666110,276.566533,47.55,48.4182,46.465,47.44,30999720,196640,47.482778,133.02,135.485,129.29,131.75,15939353,227970,132.142783,24.15,24.2,23.92,23.935,10962,147,24.006107
2022-03-09,161.475,163.41,159.41,651.8,87920209,694345,161.949231,283.44,289.6,280.78,288.5,33694771,476601,286.224704,48.13,49.22,48.0,48.75,23255948,154528,48.71737,135.49,135.5,133.36,133.65,13929622,177561,134.191478,24.21,24.48,24.21,24.21,16347,138,24.334882
2022-03-10,160.2,160.39,155.98,634.08,103541308,859530,158.031294,283.02,286.6,280.58,285.59,29498289,446996,283.980042,48.305,49.29,48.05,49.2,23665924,142530,48.860728,132.43,134.2,131.62,133.64,8275952,137515,133.054532,24.145,24.365,24.145,24.3635,11721,131,24.255388
2022-03-11,158.93,159.28,154.5,618.92,94382406,847706,156.164846,287.96,289.51,279.43,280.07,26376514,402780,283.716536,49.14,50.9,48.9425,50.27,32878231,198426,50.301042,135.08,136.16,131.57,131.75,6861870,112643,133.283637,24.52,24.55,24.2185,24.2185,8452,148,24.431757
2022-03-14,151.45,154.12,150.1,602.48,105717687,936066,151.690522,280.34,285.3992,275.82,276.44,29357508,413400,279.735597,50.72,52.91,50.39,52.25,41281613,256211,52.174871,130.99,133.07,128.38,129.03,9620587,145479,129.955003,24.4195,24.5,24.205,24.2098,3910,98,24.377218
2022-03-15,150.9,155.565,150.38,620.36,91228191,701316,153.470869,280.35,287.82,278.725,287.15,33386352,489838,284.062859,52.6968,52.92,51.18,52.21,29247992,191369,52.037043,129.74,134.56,129.51,134.2,9608227,121765,133.087037,24.45,24.69,24.3106,24.6497,8931,122,24.509471
2022-03-16,157.05,160.0,154.46,638.36,98816624,793597,157.661798,289.11,294.57,283.2,294.39,36642309,506624,290.76988,52.54,53.27,52.18,52.92,28739142,200769,52.724386,135.65,138.98,134.94,138.14,10254000,143954,137.421281,24.9527,25.01,24.6887,25.0014,9223,170,24.855959
2022-03-17,158.61,161.0,157.63,642.48,73839492,609066,159.425079,293.29,295.61,289.37,295.22,29904272,416415,293.183231,52.92,54.25,52.79,54.24,30040998,179692,53.954573,137.44,139.47,136.56,139.47,6635505,102169,138.44784,25.045,25.2895,24.97,25.2895,12766,142,25.073114
2022-03-18,160.51,164.48,159.76,655.92,123092524,696321,162.599316,295.37,300.99,292.73,300.43,42681005,403872,297.951259,54.38,55.0,53.705,54.51,51327444,195788,54.316153,139.55,140.725,138.3,140.3,11113706,110008,140.069668,25.22,25.54,25.22,25.5326,10046,118,25.288341
2022-03-21,163.51,166.35,163.015,661.52,94265392,703009,164.736717,298.89,300.14,294.9,299.16,27665277,422808,297.871745,54.24,55.3,53.9,54.19,33998416,195245,54.372192,138.9,139.3,136.88,138.62,8949532,130771,138.262001,25.73,25.77,25.35,25.6299,21489,297,25.546947
2022-03-22,165.51,169.42,164.91,675.28,80412309,627260,168.227272,299.8,305.0,298.77,304.06,27194404,395630,303.129464,54.2,54.32,52.495,53.04,31871643,199357,53.027563,139.06,142.19,138.9,140.11,8365427,107157,140.645252,25.91,25.91,25.3,25.47,52090,289,25.426287
2022-03-23,167.99,172.64,167.65,680.84,96898461,771180,170.7874,300.69,303.23,297.7201,299.49,25321621,351868,300.582102,53.02,53.5,52.155,52.19,28844002,172152,52.551826,139.07,139.76,137.54,137.64,8630699,111205,138.571138,25.27,25.56,25.1701,25.232,10490,181,25.311447
2022-03-24,171.06,174.14,170.21,696.28,88989246,676433,172.263675,299.14,304.2,298.315,304.1,24010405,309489,301.847779,52.54,52.845,52.29,52.59,24901461,133590,52.578417,138.58,139.2699,137.41,138.96,5779732,88627,138.549493,25.35,25.41,25.34,25.395,22272,189,25.388556
2022-03-25,173.88,175.28,172.75,698.88,79861883,657579,174.023699,305.23,305.5,299.2855,303.68,22380012,336098,302.502535,52.74,53.25,52.51,52.78,17285349,129461,52.804764,139.28,140.38,138.12,139.14,5905284,88243,139.103876,25.92,25.92,25.22,25.3151,19199,260,25.404993
2022-03-28,172.17,175.73,172.0,702.4,168579557,1375541,174.339678,304.33,310.8,304.33,310.7,57447113,711073,308.890743,52.53,53.56,52.5,53.28,40502442,241441,53.182401,138.88,139.6274,136.2816,138.72,16035235,251959,137.859832,25.5,25.5,25.2,25.36,44515,460,25.306522
2022-03-29,176.69,179.01,176.34,715.84,100696426,777343,177.853078,313.91,315.82,309.05,315.41,30413265,423782,313.275189,54.0,54.08,52.62,52.74,39982501,212505,53.047264,140.96,144.46,140.96,142.38,11297499,147597,142.593047,25.7,25.7,25.3501,25.49,40318,396,25.473711
2022-03-30,178.55,179.61,176.7,711.08,92758154,695865,178.119257,313.76,315.95,311.58,313.86,28163555,340160,313.713418,53.2,53.7199,51.9701,52.44,48086504,301120,52.549365,141.31,143.2675,140.08,140.96,15815727,228851,141.603493,25.6,25.6,25.42,25.42,50070,418,25.460684
2022-03-31,177.84,178.03,174.4,698.44,102626094,710882,175.877573,313.9,315.14,307.89,308.31,33255433,351808,310.418896,52.0,52.875,51.74,51.77,25976302,144334,52.098207,140.14,140.88,137.11,137.16,12284640,155883,138.514158,25.6,25.6,25.33,25.35,13828,221,25.439799
2022-04-01,174.03,174.88,171.94,697.24,79064404,659177,173.413361,309.37,310.13,305.54,309.42,27035599,313495,308.048886,52.12,52.16,51.1,51.57,18994959,129913,51.413381,137.34,138.1,135.53,137.0,10323140,147762,136.941576,25.59,25.59,25.33,25.3785,19543,197,25.429644
2022-04-04,174.57,178.49,174.44,713.76,76407012,628282,177.485526,310.09,315.11,309.71,314.97,24270782,298653,313.755361,51.78,51.87,50.37,50.94,20456129,132110,50.926041,136.97,139.261,136.89,138.58,8170996,120764,138.309639,25.58,25.58,25.38,25.46,24585,262,25.441579
2022-04-05,177.5,178.3,174.415,700.24,73137249,617535,175.977573,313.27,314.865,309.87,310.88,23043424,309787,311.797558,50.81,52.15,50.75,51.24,21111471,140522,51.466249,137.74,139.2,135.13,135.62,8675404,136206,136.087965,25.46,25.55,25.41,25.4115,26348,220,25.49705
2022-04-06,172.36,173.63,170.13,686.4,81142731,763312,171.781265,305.19,307.0,296.71,299.4,35635336,544359,300.584478,51.16,53.09,51.16,52.87,31573739,176370,52.402689,133.75,133.93,130.81,132.57,11629371,179266,132.13612,25.35,25.3703,25.22,25.3419,11043,183,25.292747
